work_year,experience_level,salary_in_usd,company_size,main_job_title_category,Country,Continent,country_code
2023,SE,85847,L,Data Scientist,Spain,Europe,ESP
2023,SE,175000,M,Data Scientist,Canada,North America,CAN
2023,SE,120000,M,Data Scientist,Canada,North America,CAN
2023,SE,222200,L,Data Scientist,United States,North America,USA
2023,SE,136000,L,Data Scientist,United States,North America,USA
2023,SE,219000,M,Data Scientist,Canada,North America,CAN
2023,SE,141000,M,Data Scientist,Canada,North America,CAN
2023,SE,147100,M,Data Scientist,United States,North America,USA
2023,SE,90700,M,Data Scientist,United States,North America,USA
2023,SE,130000,M,Data Analyst,United States,North America,USA
2023,SE,100000,M,Data Analyst,United States,North America,USA
2023,EN,213660,L,Data Scientist,United States,North America,USA
2023,EN,130760,L,Data Scientist,United States,North America,USA
2023,SE,147100,M,Data Engineer,United States,North America,USA
2023,SE,90700,M,Data Engineer,United States,North America,USA
2023,SE,170000,M,Data Scientist,United States,North America,USA
2023,SE,150000,M,Data Scientist,United States,North America,USA
2023,MI,150000,M,Data Analyst,United States,North America,USA
2023,MI,110000,M,Data Analyst,United States,North America,USA
2023,SE,275000,M,Data Engineer,Germany,Europe,DEU
2023,SE,174000,M,Data Engineer,Germany,Europe,DEU
2023,SE,230000,M,Data Engineer,United Kingdom,Europe,GBR
2023,SE,143200,M,Data Engineer,United Kingdom,Europe,GBR
2023,SE,225000,M,Data Engineer,United States,North America,USA
2023,SE,156400,M,Data Engineer,United States,North America,USA
2023,SE,200000,M,Machine Learning Engineer,United States,North America,USA
2023,SE,130000,M,Machine Learning Engineer,United States,North America,USA
2023,SE,90000,M,Data Engineer,Canada,North America,CAN
2023,SE,72000,M,Data Engineer,Canada,North America,CAN
2023,SE,253200,M,Data Engineer,United States,North America,USA
2023,SE,90700,M,Data Engineer,United States,North America,USA
2023,SE,342810,M,Data Engineer,United States,North America,USA
2023,SE,184590,M,Data Engineer,United States,North America,USA
2023,MI,162500,M,Data Engineer,United States,North America,USA
2023,MI,130000,M,Data Engineer,United States,North America,USA
2023,MI,105380,M,Data Analyst,United States,North America,USA
2023,MI,64500,M,Data Analyst,United States,North America,USA
2023,EN,100000,L,Data Analyst,Nigeria,Africa,NGA
2023,EN,30000,L,Data Analyst,Nigeria,Africa,NGA
2022,MI,20984,L,Machine Learning Engineer,India,Asia,IND
2023,EN,204620,L,Data Scientist,United States,North America,USA
2023,EN,110680,L,Data Scientist,United States,North America,USA
2023,SE,270703,M,Data Engineer,United States,North America,USA
2023,SE,221484,M,Data Engineer,United States,North America,USA
2023,SE,212750,M,Data Scientist,United States,North America,USA
2023,SE,185000,M,Data Scientist,United States,North America,USA
2023,SE,262000,M,Data Scientist,United States,North America,USA
2023,SE,245000,M,Data Scientist,United States,North America,USA
2023,SE,275300,M,Data Scientist,United States,North America,USA
2023,SE,183500,M,Data Scientist,United States,North America,USA
2023,SE,218500,M,Data Scientist,United States,North America,USA
2023,SE,199098,M,Data Scientist,United States,North America,USA
2023,SE,203300,M,Data Engineer,United States,North America,USA
2023,SE,123600,M,Data Engineer,United States,North America,USA
2023,SE,189110,M,Data Engineer,United States,North America,USA
2023,SE,139000,M,Data Engineer,United States,North America,USA
2023,EX,258750,M,Data Scientist,United States,North America,USA
2023,EX,185000,M,Data Scientist,United States,North America,USA
2023,SE,231500,M,Data Engineer,United States,North America,USA
2023,SE,166000,M,Data Engineer,United States,North America,USA
2023,SE,172500,M,Data Scientist,United States,North America,USA
2023,SE,110500,M,Data Scientist,United States,North America,USA
2023,SE,238000,M,Data Engineer,United States,North America,USA
2023,SE,176000,M,Data Engineer,United States,North America,USA
2023,SE,237000,M,Data Engineer,United States,North America,USA
2023,SE,201450,M,Data Engineer,United States,North America,USA
2023,SE,309400,L,Data Scientist,United States,North America,USA
2023,SE,159100,L,Data Scientist,United States,North America,USA
2023,SE,115000,M,Data Engineer,United States,North America,USA
2023,SE,81500,M,Data Engineer,United States,North America,USA
2023,SE,237000,M,Data Scientist,United States,North America,USA
2023,SE,201450,M,Data Scientist,United States,North America,USA
2023,SE,280000,M,Data Engineer,United States,North America,USA
2023,SE,210000,M,Data Engineer,United States,North America,USA
2023,SE,280100,M,Data Architect,United States,North America,USA
2023,SE,168100,M,Data Architect,United States,North America,USA
2023,SE,193500,M,Data Engineer,United States,North America,USA
2023,SE,139000,M,Data Engineer,United States,North America,USA
2023,MI,65062,L,Data Scientist,Hong Kong,Asia,HKG
2023,SE,150000,M,Machine Learning Engineer,Portugal,Europe,PRT
2023,MI,69751,S,Machine Learning Engineer,India,Asia,IND
2022,EN,300000,L,Data Engineer,India,Asia,IND
2023,MI,96578,L,Machine Learning Engineer,Netherlands,Europe,NLD
2023,SE,185900,M,Data Engineer,United States,North America,USA
2023,SE,129300,M,Data Engineer,United States,North America,USA
2023,SE,225000,M,Data Engineer,United States,North America,USA
2023,SE,175000,M,Data Engineer,United States,North America,USA
2023,SE,185000,M,Data Engineer,United States,North America,USA
2023,SE,140000,M,Data Engineer,United States,North America,USA
2023,SE,48289,M,Data Scientist,Spain,Europe,ESP
2023,SE,38631,M,Data Scientist,Spain,Europe,ESP
2023,SE,105000,M,Data Scientist,United States,North America,USA
2023,SE,70000,M,Data Scientist,United States,North America,USA
2023,EN,163196,M,Machine Learning Engineer,United States,North America,USA
2023,EN,145885,M,Machine Learning Engineer,United States,North America,USA
2023,SE,217000,M,Data Engineer,United States,North America,USA
2023,SE,185000,M,Data Engineer,United States,North America,USA
2023,SE,202800,L,Data Analyst,United States,North America,USA
2023,SE,104300,L,Data Analyst,United States,North America,USA
2023,SE,145000,M,Data Analyst,United States,North America,USA
2023,SE,65000,M,Data Analyst,United States,North America,USA
2023,SE,165000,M,Data Engineer,United States,North America,USA
2023,SE,132300,M,Data Engineer,United States,North America,USA
2023,SE,179170,M,Data Engineer,United States,North America,USA
2023,SE,94300,M,Data Engineer,United States,North America,USA
2023,SE,152500,M,Data Engineer,United States,North America,USA
2023,SE,116450,M,Data Engineer,United States,North America,USA
2023,SE,247300,M,Data Engineer,United States,North America,USA
2023,SE,133800,M,Data Engineer,United States,North America,USA
2023,SE,203000,M,Data Engineer,United States,North America,USA
2023,SE,133000,M,Data Engineer,United States,North America,USA
2023,EN,220000,L,Data Scientist,United States,North America,USA
2022,EN,56536,S,Machine Learning Engineer,Switzerland,Europe,CHE
2023,SE,150000,M,Data Scientist,United States,North America,USA
2023,SE,120000,M,Data Scientist,United States,North America,USA
2023,SE,289800,M,Data Engineer,United States,North America,USA
2023,SE,214000,M,Data Engineer,United States,North America,USA
2023,SE,179820,M,Data Engineer,United States,North America,USA
2023,SE,143860,M,Data Engineer,United States,North America,USA
2023,SE,283200,M,Machine Learning Engineer,United States,North America,USA
2023,SE,188800,M,Machine Learning Engineer,United States,North America,USA
2023,SE,289800,M,Data Engineer,United States,North America,USA
2023,SE,214200,M,Data Engineer,United States,North America,USA
2023,SE,185900,M,Data Engineer,United States,North America,USA
2023,SE,129300,M,Data Engineer,United States,North America,USA
2023,SE,252000,M,Data Engineer,United States,North America,USA
